5-FU	C1=C(C(=O)NC(=O)N1)F
MK-2206	NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
MK-4541	CN1C(=O)C=CC2(C)C3CCC4(C)C(NC(=O)OCC(F)(F)F)CCC4C3CCC12
MK-4827	NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
MK-5108	C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O
MK-8669	COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
MK-8776	Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
MRK-003	O=S1(=O)NC2(CN1CC(F)(F)F)C1CCC2Cc2cc(C=CCN3CCC(C(F)(F)F)CC3)ccc2C1
OXALIPLATIN	NC1CCCCC1N.O=C(O)C(=O)O.[Pt+2]
PACLITAXEL	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
PD325901	O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
SN-38	CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)O
SORAFENIB	CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
SUNITINIB	CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C
TEMOZOLOMIDE	CN1C(=O)N2C=NC(=C2N=N1)C(=O)N
TOPOTECAN	CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
VINBLASTINE	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
VINORELBINE	CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2
ZOLINZA	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE	CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
34793-34-5	COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N
ABIRATERONE	CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O
ACTINOMYCIN D	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
ADM HYDROCHLORIDE	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl
ALTRETAMINE	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
AMIFOSTINE	C(CN)CNCCSP(=O)(O)O
ANASTROZOLE	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
ANTIBIOTIC AD 32	CCCCC(=O)OCC(=O)C1(CC(C2=C(C3=C(C(=C2C1)O)C(=O)C4=C(C3=O)C(=CC=C4)OC)O)OC5CC(C(C(O5)C)O)NC(=O)C(F)(F)F)O
ANTIBIOTIC AY 22989	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
AXITINIB	CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
AZACYTIDINE	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
BLEOMYCIN	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
BUSULFAN	CS(=O)(=O)OCCCCOS(=O)(=O)C
CABAZITAXEL	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
CARMUSTINE	C(CCl)NC(=O)N(CCCl)N=O
CELECOXIB	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
CHEMBL17639	C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
CHEMBL277800	C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl
CHLORAMBUCIL	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
CO-V	C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
CRIZOTINIB	CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
CYTARABINE HYDROCHLORIDE	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl
DAUNORUBICIN HYDROCHLORIDE	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O.Cl
DEXRAZOXANE	CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
EXEMESTANE	CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C
FLUDARABINE BASE	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F
FULVESTRANT	CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
GEFITINIB	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
HYDROXYUREA	C(=O)(N)NO
IFOSFAMIDE	C1CN(P(=O)(OC1)NCCCl)CCCl
IMATINIB	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
IMIQUIMOD	CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N
IXABEPILONE	CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C
LENALIDOMIDE	C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
LETROZOLE	C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
LOMUSTINE	C1CCC(CC1)NC(=O)N(CCCl)N=O
MEGESTROL ACETATE	CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
MERCAPTOPURINE	C1=NC2=C(N1)C(=S)N=CN2
METHOXSALEN	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
MITOTANE	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
MITOXANTRONE	C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
NILOTINIB	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5
NSC 85998	CN(C(=O)NC(C=O)C(C(C(CO)O)O)O)N=O
NSC-127716	C1C(C(OC1N2C=NC(=NC2=O)N)CO)O
NSC141540	CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
NSC733504	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
PIPOBROMAN	C1CN(CCN1C(=O)CCBr)C(=O)CCBr
PLICAMYCIN	CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
PRALATREXATE	C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
QUINACRINE HYDROCHLORIDE	CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
RALOXIFENE	C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O
ROMIDEPSIN	CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C
TAMOXIFEN CITRATE	CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
TENIPOSIDE	COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O
THALIDOMIDE	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
THIOGUANINE	C1=NC2=C(N1)C(=S)N=C(N2)N
THIOTEPA	C1CN1P(=S)(N2CC2)N3CC3
TOPOTECAN HYDROCHLORIDE	CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O.Cl
TRETINOIN	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
TRIETHYLENEMELAMINE	C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4
URACIL MUSTARD	C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl
VANDETANIB	CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
VEMURAFENIB	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F
VINBLASTINE SULFATE	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
VINCRISTINE SULFATE	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
VISMODEGIB	CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl
ZOLEDRONIC ACID	C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
3-AMINO-2-OXAZOLIDINONE	C1COC(=O)N1N
4-AMINOSALICYLIC ACID	C1=CC(=C(C=C1N)O)C(=O)O
6-HYDROXYBUSPIRONE	C1CCC2(C1)CC(=O)N(C(=O)C2O)CCCCN3CCN(CC3)C4=NC=CC=N4
A77 1726	CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O
ABACAVIR	C1CC1NC2=NC(=NC3=C2N=CN3C4CC(C=C4)CO)N
ACAMPROSATE	CC(=O)NCCCS(=O)(=O)O
ACARBOSE	CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
ACETAZOLAMIDE	CC(=O)NC1=NN=C(S1)S(=O)(=O)N
ACETOHEXAMIDE	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
ACETOHYDROXAMIC ACID	CC(=O)NO
ACITRETIN	CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
ALBENDAZOLE	CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
ALISKIREN	CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
AMANTADINE	C1C2CC3CC1CC(C2)(C3)N
AMODIAQUINE	CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
AMOXAPINE	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
AMPRENAVIR	CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
ARGATROBAN	CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C.O
ARIPIPRAZOLE	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
ARMODAFINIL	C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
ARTEMETHER	CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C
ASENAPINE	CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24
ATENOLOL	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
ATOVAQUONE	C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O
AURANOFIN	CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
AZACITIDINE	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
AZATADINE	CN1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1
AZITHROMYCIN	CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
BACLOFEN	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
BOSENTAN	CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
BUMETANIDE	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
BUSPIRONE	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
CANRENONE	CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC45CCC(=O)O5)C
CARGLUMIC ACID	C(CC(=O)O)C(C(=O)O)NC(=O)N
CARISOPRODOL	CCCC(C)(COC(=O)N)COC(=O)NC(C)C
CEFMENOXIME	CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
CERIVASTATIN	CC(C)C1=C(C(=C(C(=N1)C(C)C)C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)COC
CEVIMELINE	CC1OC2(CN3CCC2CC3)CS1
CHLOROQUINE	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
CHLORPHENESIN	C1=CC(=CC=C1OCC(CO)O)Cl
CHLORZOXAZONE	C1=CC2=C(C=C1Cl)NC(=O)O2
CILASTATIN	CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C
CISAPRIDE	COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
CISATRACURIUM BESYLATE	C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-]
CITALOPRAM	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CLOFARABINE	C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl
CLOFIBRATE	CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
CLOFIBRIC ACID	CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl
CLOPIDOGREL	COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
D-CYCLOSERINE	C1C(C(=O)NO1)N
DESOXYCORTICOSTERONE PIVALATE	CC12CCC3C(C1CCC2C(=O)COC(=O)C(C)(C)C)CCC4=CC(=O)CCC34C
DEXCHLORPHENIRAMINE	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
DEXMEDETOMIDINE	CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C
DEXTROMETHORPHAN	CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC
DIAZOXIDE	CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
DICHLORPHENAMIDE	C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
DIETHYLCARBAMAZINE	CCN(CC)C(=O)N1CCN(CC1)C
DIGITOXIN	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O
DIHYDROARTEMISININ	CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)O)C
DIHYDROERGOTAMINE	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C
DIPHENIDOL	C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
DIPYRIDAMOLE	C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
DISULFIRAM	CCN(CC)C(=S)SSC(=S)N(CC)CC
DOPAMINE	C1=CC(=C(C=C1CCN)O)O
DOXAPRAM	CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4
DRONEDARONE	CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC
DUTASTERIDE	CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C
EFAVIRENZ	C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
EFLORNITHINE	C(CC(C(F)F)(C(=O)O)N)CN
ELTROMBOPAG	CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)NN=C3C=CC=C(C3=O)C4=CC(=CC=C4)C(=O)O)C
ENALAPRILAT	CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O
ENDOXIFEN	CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCNC)C3=CC=CC=C3
ENOXACIN	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O
ENTACAPONE	CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N
EPTIFIBATIDE	C1CC2C(=O)NC(CSSCCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N
ETHINYL ESTRADIOL	CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O
ETOMIDATE	CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
EVEROLIMUS	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
EZETIMIBE	C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O
FEBUXOSTAT	CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O
FELBAMATE	C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
FENOPROFEN	CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
FLUMAZENIL	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
FLUTAMIDE	CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
FOMEPIZOLE	CC1=CNN=C1
FURAZOLIDONE	C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]
GABAPENTIN	C1CCC(CC1)(CC(=O)O)CN
GALANTAMINE	CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O
GUANADREL	C1CCC2(CC1)OCC(O2)CN=C(N)N
GUANFACINE	C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl
HYDRALAZINE	C1=CC=C2C(=C1)C=NN=C2NN
HYDROXYCHLOROQUINE	CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
HYDROXYFLUTAMIDE	CC(C)(C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F)O
HYDROXYMETRONIDAZOLE	C1=C(N(C(=N1)CO)CCO)[N+](=O)[O-]
ILOPROST	CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O
IMIPRAMINE	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
ISONIAZID	C1=CN=CC=C1C(=O)NN
ISOPROTERENOL	CC(C)NCC(C1=CC(=C(C=C1)O)O)O
ISOSORBIDE DINITRATE	C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]
ITRACONAZOLE	CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
IVERMECTIN	CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C
LACOSAMIDE	CC(=O)NC(COC)C(=O)NCC1=CC=CC=C1
LAMOTRIGINE	C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
LANSOPRAZOLE	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
LEFLUNOMIDE	CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
LEVAMISOLE	C1CSC2=NC(CN21)C3=CC=CC=C3
LEVETIRACETAM	CCC(C(=O)N)N1CCCC1=O
LEVONORGESTREL	CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
LIOTHYRONINE	C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
LITHIUM CITRATE	[Li+].[Li+].[Li+].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
LUBIPROSTONE	CCCCC(C1(CCC2C(O1)CC(=O)C2CCCCCCC(=O)O)O)(F)F
LUMEFANTRINE	CCCCN(CCCC)CC(C1=C2C3=C(C=C(C=C3)Cl)C(=CC4=CC=C(C=C4)Cl)C2=CC(=C1)Cl)O
MAPROTILINE	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
MARAVIROC	CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
MEBENDAZOLE	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3
